periodo,customer_id,product_id,plan_precios_cuidados,cust_request_qty,cust_request_tn,tn,periodo_fecha,cat1,cat2,cat3,brand,sku_size,temp_media,temp_max_media,temp_min_media,IPC,promedio_mens_dolar_venta,catastrofe
201701,10011,20007,0,5,4.90379,4.90379,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10005,20007,0,6,4.20325,4.20325,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10007,20007,0,1,2.52973,2.52973,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10012,20007,0,7,21.19132,21.19132,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10003,20007,0,22,20.2281,20.2281,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10013,20007,0,8,31.67997,31.67997,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10004,20007,0,7,15.70376,14.55565,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10006,20007,0,17,9.54487,9.54487,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10008,20007,0,21,23.40974,23.40974,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10009,20007,0,8,9.92432,9.92432,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10001,20007,0,15,54.29184,52.89076,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10002,20007,0,16,37.76104,34.25834,2017-01-01,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,DOWNY,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,10011,20005,0,2,12.37018,12.37018,2017-01-01,FOODS,ADEREZOS,Mayonesa,NATURA,120.0,25.65,30.4,20.9,1.6,15.91,False
201701,10013,20005,0,1,0.25771,0.25771,2017-01-01,FOODS,ADEREZOS,Mayonesa,NATURA,120.0,25.65,30.4,20.9,1.6,15.91,False
201701,10006,20005,0,11,56.43893,56.43893,2017-01-01,FOODS,ADEREZOS,Mayonesa,NATURA,120.0,25.65,30.4,20.9,1.6,15.91,False
