product_id,periodo,product_id_tn
20001,201701,934.7722200000001
20001,201702,798.0162
20001,201703,1303.35771
20001,201704,1069.9613
20001,201705,1502.20132
20001,201706,1520.06539
20001,201707,1030.67391
20001,201708,1267.39462
20001,201709,1316.94604
20001,201710,1439.75563
20001,201711,1580.47401
20001,201712,1049.3886
20001,201801,1169.07532
20001,201802,1043.7647
20001,201803,1856.83534
20001,201804,1251.2846200000001
20001,201805,1293.89788
20001,201806,1150.79169
20001,201807,1470.4100899999999
20001,201808,1800.9616800000001
20001,201809,1438.67455
20001,201810,2295.19832
20001,201811,1813.01511
20001,201812,1486.68669
20001,201901,1275.77351
20001,201902,1259.09363
20001,201903,1470.65653
20001,201904,1647.63848
20001,201905,1629.78233
20001,201906,1109.93769
20001,201907,1678.99318
20001,201908,1261.34529
20001,201909,1660.00561
20001,201910,1561.50552
20001,201911,1397.37231
20001,201912,1504.68856
20002,201701,550.15707
20002,201702,505.88633
20002,201703,834.7352099999999
20002,201704,522.35365
20002,201705,843.43785
20002,201706,968.15756
20002,201707,845.39319
20002,201708,619.71078
20002,201709,1065.34529
20002,201710,857.45269
20002,201711,750.41853
20002,201712,820.58984
20002,201801,984.80167
20002,201802,712.00087
20002,201803,966.86044
20002,201804,999.20934
20002,201805,1103.39191
20002,201806,1033.82845
20002,201807,977.40239
20002,201808,1161.8843
20002,201809,954.2357499999999
20002,201810,1378.49032
20002,201811,1766.81068
20002,201812,1009.45458
20002,201901,1266.7875099999999
20002,201902,1043.01349
20002,201903,1083.62552
20002,201904,1287.62346
20002,201905,1034.98927
20002,201906,928.36431
20002,201907,1066.44999
20002,201908,813.78215
20002,201909,1090.18771
20002,201910,1979.5363499999999
20002,201911,1423.5773900000002
20002,201912,1087.30855
20003,201701,1063.45835
20003,201702,752.1152
20003,201703,917.16548
20003,201704,525.82591
20003,201705,620.48202
20003,201706,744.08829
20003,201707,785.12398
20003,201708,864.21928
20003,201709,1465.83347
20003,201710,1958.59845
20003,201711,1426.23717
20003,201712,961.66344
20003,201801,907.56304
20003,201802,788.30749
20003,201803,778.55594
20003,201804,765.47838
20003,201805,784.35885
20003,201806,660.73323
20003,201807,656.227
20003,201808,955.97079
20003,201809,912.34156
20003,201810,1313.34211
20003,201811,1206.9177300000001
20003,201812,769.82869
20003,201901,964.7691900000001
20003,201902,758.3265700000001
20003,201903,638.0401
20003,201904,565.33774
20003,201905,590.12515
20003,201906,662.38654
20003,201907,715.20314
20003,201908,635.59563
20003,201909,967.77116
20003,201910,1081.36645
20003,201911,948.29393
20003,201912,892.50129
20004,201701,555.91614
20004,201702,508.20044
20004,201703,489.91328
20004,201704,512.05402
20004,201705,543.3667
20004,201706,590.50779
20004,201707,569.88117
20004,201708,1042.52979
20004,201709,1259.6456
20004,201710,1268.21209
20004,201711,897.42607
